url,novel_titles,review_ratings,num_chapters,author,translator,genres
https://www.wuxiaworld.com/novel/yama-rising,Yama Rising,,1263,Nocturnal Stranger(厄夜怪客),Minotauruz & Johnchen,Chinese; Mystery; Thriller; Cultivation; Fantasy; Xuanhuan; Action; Tragedy; Modern Setting
https://www.wuxiaworld.com/novel/divine-throne-of-primordial-blood,Divine Throne of Primordial Blood,4; 4,1158,Zero Fate (缘分0),gandalfs_socks,Chinese; Fantasy; Xuanhuan; Action
https://www.wuxiaworld.com/novel/etranger,Etranger,4.1; 4.1,217,Yo Sam (요삼),PlumpCat,Korean; Fantasy; Sci-fi; Action
https://www.wuxiaworld.com/novel/love-code-at-the-end-of-the-world,Love Code at the End of the World,,934,Octahedral Kitsune (八面妖狐),Strawberry Shortcake,Chinese; Romance; Sci-fi; Action; Post-apocalyptic; Superpowers; Female Protagonist
https://www.wuxiaworld.com/novel/conquering-the-tower-even-regressors-couldnt,Conquering the Tower Even Regressors Couldn't,3.3; 3.3,378,눈도끼    noondoggy,hedgethehog,Korean; Fantasy; Action; Modern Setting; Superpowers; Dungeon Crawling
https://www.wuxiaworld.com/novel/heavens-devourer,Heaven's Devourer,,1829,Feng Qingyang (风青阳),Midasthefloof,Chinese; Fantasy; Xianxia; Action; Tragedy
https://www.wuxiaworld.com/novel/debuff-master,Debuff Master,3.5; 3.5,1149,Dam Hwa Gong,Tokki,Korean; Fantasy
https://www.wuxiaworld.com/novel/planet-pulverizer-a-mortals-ascent,Planet Pulverizer: A Mortal's Ascent,3.1; 3.1,978,Windrider Swordmaster(乘风御剑),Aaron & Yukidaruma,Chinese; Cultivation; Action; Wuxia; Modern Setting; Reincarnator
https://www.wuxiaworld.com/novel/the-last-place-heros-return,The Last Place Hero's Return,3; 3,47,ButterflyValley,Nekogami,Korean; Fantasy; Action; Superpowers; Reincarnator
https://www.wuxiaworld.com/novel/the-great-ruler,The Great Ruler,3.4; 3.4,1562,"Li Hu, also known as Heavenly Silkworm Potato(天蚕土豆)",Thyaeria,Chinese; Romance; Fantasy; Xuanhuan; Action; Tragedy
https://www.wuxiaworld.com/novel/the-overlord-of-puluo,The Overlord of Puluo,5; 5,20,Salagus (沙拉古斯),GLTD Alternate Universe,Chinese; Fantasy; Comedy; Mystery; Thriller; Cultivation; Action; Superpowers; Kingdom Building
https://www.wuxiaworld.com/novel/netherworld-investigator,Netherworld Investigator,3.6; 3.6,525,Ninth Daoist(道门老九),darlingv,Chinese; Mystery; Thriller; Action; Modern Setting
https://www.wuxiaworld.com/novel/immortal-soaring-blade,Immortal Soaring Blade,2.7; 2.7,468,The moon bridge is still there(桥月仍在),Rex.,Chinese; Cultivation; Xianxia; Action
https://www.wuxiaworld.com/novel/young-noble-be-monster-slaying,Young Noble Be Monster Slaying,4.5; 4.5,1014,Pei Bu Liao(裴不了),GLTD Alternate Universe,Chinese; Cheat Systems; Comedy; Mystery; Cultivation; Reincarnator; Xianxia; Kingdom Building
https://www.wuxiaworld.com/novel/the-stars-beyond,The Stars Beyond,2.3; 2.3,548,Chen Dong (辰东),Jimmi & Dorlaken,Chinese; Fantasy; Sci-fi; Cultivation; Xianxia; Modern Setting; Superpowers; Mature; Harem
https://www.wuxiaworld.com/novel/beastmaster-of-the-ages,Beastmaster of the Ages,3.1; 3.1,4030,Feng Qingyang (风青阳),BOTA Fireteam,Chinese; Fantasy; Xuanhuan; Action; Pets
https://www.wuxiaworld.com/novel/spirit-vessel,Spirit Vessel,3.1; 3.1,1261,Jiu Dangjia (九当家),ImmortalEmperorBao,Chinese; Romance; Fantasy; Comedy; Xuanhuan; Action; Mature
https://www.wuxiaworld.com/novel/life-once-again,"Life, Once Again!",4.7; 4.7,1303,Wise Dragon (어진용),KTLChamber,Korean; Fantasy; Slice of Life; Modern Setting; Celebrity
https://www.wuxiaworld.com/novel/gate-of-revelation,Gate of Revelation,3.6; 3.6,905,Dancing(跳舞),podao001,Chinese; Fantasy; Comedy; Mystery; Xuanhuan; Action; Modern Setting; Superpowers
https://www.wuxiaworld.com/novel/second-try-idol,Second Try Idol,4.6; 4.6,477,Tinta,hedgethehog,Korean; Fantasy; Slice of Life; Modern Setting; Reincarnator; Celebrity
https://www.wuxiaworld.com/novel/unsheathed,Unsheathed,4.1; 4.1,1013,Feng Huo Xi Zhu Hou(烽火戏诸侯),Johnchen and Flying Dumpling,Chinese; Fantasy; Cultivation; Action
https://www.wuxiaworld.com/novel/wandering-knight,Wandering Knight,3.7; 3.7,343,Lazy Turtle(慵懒之龟),Qoob,Chinese; Fantasy; Action; Political Intrigue; Reincarnator
https://www.wuxiaworld.com/novel/beyond-the-timescape,Beyond the Timescape,4.8; 4.8,1445,Er Gen (耳根),Deathblade,Chinese; Cultivation; Fantasy; Xianxia; Action; Post-apocalyptic; Alchemy
https://www.wuxiaworld.com/novel/physicians-odyssey,Physician’s Odyssey,3; 3,902,Smoking Pipe Bro (烟斗老哥),Thyaeria,Chinese; Romance; Comedy; Political Intrigue; Action; Wuxia; Modern Setting
https://www.wuxiaworld.com/novel/i-have-a-sword,I Have a Sword,2.8; 2.8,1701,On Azure Phoenix Peak (青鸾峰上),Coca and Corlumbus,Chinese; Fantasy; Comedy; Cultivation; Xianxia; Action
https://www.wuxiaworld.com/novel/split-zone-13,Split Zone 13,4; 4,327,Yu Wei (虞薇),"mayy, thealt, and Hilda",Chinese; Fantasy; Mystery; Action; Modern Setting
https://www.wuxiaworld.com/novel/the-undefeatable-swordsman,The Undefeatable Swordsman,3.1; 3.1,255,Red Sunset,Cyncoco,Korean; Fantasy; Cultivation; Xianxia; Wuxia
https://www.wuxiaworld.com/novel/warlock-of-the-magus-world,Warlock of the Magus World,4.1; 4.1,1201,The Plagiarist(文抄公),OMA,Chinese; Fantasy; Alchemy; Political Intrigue; Mature
https://www.wuxiaworld.com/novel/the-skeleton-soldier-failed-to-defend-the-dungeon,The Skeleton Soldier Failed to Defend the Dungeon,4.5; 4.5,288,SOSORI,Yenmazing,Korean
https://www.wuxiaworld.com/novel/invincible,Invincible,2.7; 2.7,3753,Shen Jian(神见),Qumu and Blip,Chinese; Romance; Xuanhuan; Action; Alchemy; Mature
https://www.wuxiaworld.com/novel/the-regressed-demon-lord-is-kind,The Regressed Demon Lord is Kind,4.5; 4.5,628,Hungry Panda (배고픈판다),RedBird,Korean; Fantasy; Action
https://www.wuxiaworld.com/novel/gateway-of-immortality,Gateway of Immortality,3.9; 3.9,846,Raindrops on Greenstone(雨打青石),Joash,Chinese; Fantasy; Cultivation; Xianxia
https://www.wuxiaworld.com/novel/desolate-devouring-art,Desolate Devouring Art,1.6; 1.6,1414,Bridge Flying Cavalry (铁马飞桥),Thyaeria,Chinese; Cultivation; Reincarnator; Xuanhuan; Action; Alchemy; Harem
https://www.wuxiaworld.com/novel/refining-the-mountains-and-rivers,Refining the Mountains and Rivers,2.7; 2.7,2227,Cafeteria Bun (食堂包子),"hyorinmaru, coca, and corlumbus",Chinese; Fantasy; Xuanhuan; Action; Alchemy
https://www.wuxiaworld.com/novel/immortality-simulator,Immortality Simulator,4.8; 4.8,116,Angry Cuttlefish (愤怒的乌贼),Whysee,Chinese; Cultivation; Xianxia; Action; Reincarnator
https://www.wuxiaworld.com/novel/the-peoples-god-sacrificing-trillions-to-ascend,The People's God: Sacrificing Trillions to Ascend,3.1; 3.1,516,Flying Watermelon(飞翔的大西瓜),Chacha,Chinese; Fantasy; Sci-fi; Cultivation; Cheat Systems; Action; Wuxia; Crafting; Alchemy; Modern Setting; Superpowers; Kingdom Building; Pets; Dungeon Crawling; Reincarnator
https://www.wuxiaworld.com/novel/my-journey-to-immortality-begins-with-hunting,My Journey to Immortality Begins with Hunting,3.8; 3.8,618,Peach Blossom Pastry(是桃花酥呀),JL,Chinese; Fantasy; Cultivation; LitRPG; Xuanhuan; Action
https://www.wuxiaworld.com/novel/everyone-is-young-except-for-me,Everyone is Young Except for Me,3; 3,368,Lee Hyeondo (이현도),rainbowturtle,Korean; LitRPG; Action; Virtual Reality; Cooking
https://www.wuxiaworld.com/novel/sundering-nature,Sundering Nature,3; 3,342,Teacher Clear River(清河老师),BirdThatSeekTime,Chinese; Fantasy
https://www.wuxiaworld.com/novel/on-hiatus-god-personal-reasons,On Hiatus: God's Personal Reasons,4.2; 4.2,311,CRAKER,J. Andie,Korean; Fantasy; Virtual Reality; Crafting; Modern Setting; Superpowers
https://www.wuxiaworld.com/novel/legend-of-the-dragon-king,Soul Land 3: Legend of the Dragon King,,1985,Tang Jia San Shao (唐家三少),Johnchen & Ruze,Chinese; Comedy; Mystery; Romance; Fantasy; Crafting; Modern Setting; Superpowers; Political Intrigue; Xuanhuan; Action; Virtual Reality
https://www.wuxiaworld.com/novel/thumbs-up-level-up,"Thumbs Up, Level Up",3.8; 3.8,306,biglight,Bubly,Korean; Fantasy; Action; Modern Setting; Superpowers
https://www.wuxiaworld.com/novel/destroyer-of-ice-and-fire,Destroyer of Ice and Fire,3.6; 3.6,702,Innocent (无罪),TReiji,Chinese; Fantasy; Comedy; Action
https://www.wuxiaworld.com/novel/trials-of-the-abyss,Trials of the Abyss,2.7; 2.7,1006,Ni Cang Tian(逆苍天),Krik,Chinese; Fantasy; Cultivation; Xianxia; Action
https://www.wuxiaworld.com/novel/i-woke-up-as-the-villian,I Woke Up as the Villain,3.9; 3.9,263,Yu Hyun So,Rubrub,Korean; Fantasy; Action
https://www.wuxiaworld.com/novel/the-second-coming-of-gluttony,The Second Coming of Gluttony,4.5; 4.5,548,Ro Yu Jin (로유진),FudgeNouget,Korean; Romance; Fantasy; Action; Tragedy; Superpowers; Political Intrigue; Mature
https://www.wuxiaworld.com/novel/tranxending-vision,TranXending Vision,2.8; 2.8,1200,Li Xianyu (李闲鱼),dogetranslation,Chinese; Romance; Fantasy; Comedy; Mystery; Action; Modern Setting; Superpowers
https://www.wuxiaworld.com/novel/absolute-resonance,Absolute Resonance,3; 3,1802,"Li Hu, also known as Heavenly Silkworm Potato(天蚕土豆)",Midasthefloof,Chinese; Cultivation; Xuanhuan; Action; Alchemy; Political Intrigue
https://www.wuxiaworld.com/novel/transmigrator-meets-reincarnator,Transmigrator Meets Reincarnator,4.1; 4.1,709,Snow Mountain Mists (雪山岚),"timebun, Premonition, Myst",Chinese; Romance
https://www.wuxiaworld.com/novel/overlord-of-blood-and-iron,Overlord of Blood and Iron,,355,Dam Hwa Gong (담화공),Marumaru & inyourgalaxy,Korean; Fantasy; Comedy; Action; Superpowers
https://www.wuxiaworld.com/novel/the-healing-solaris-cleric,The Healing Solaris Cleric,3.7; 3.7,458,JerryM,greenfrog,Korean; Fantasy; Action
